id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19091,Fully Furnished Cozy Apartment,72880,John,,Leonidas,29.961,-90.1195,Entire home/apt,60,1,497,2022-04-04,3.29,1,122,30,"20-RSTR-27040, 20-OSTR-00105"
71624,Ravenwood Manor (Historic Bywater),367223,Susan,,Bywater,29.96153,-90.04364,Entire home/apt,150,3,271,2022-09-05,1.92,1,321,31,"21-RSTR-18609, 20-OSTR-31018"
74498,Maison Marais 1: Large Local Living,391462,Georgia,,St. Roch,29.96986,-90.05172,Entire home/apt,93,3,553,2022-09-04,3.95,3,202,40,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
79536,FeelAtHomeInNO PrivateApt,428362,Miriam,,Seventh Ward,29.97803,-90.0745,Entire home/apt,69,3,580,2022-08-23,4.19,1,29,67,"21-RSTR-18550, 21-OSTR-18392"
79609,Moon Over Mazant - FIRST and FINEST in Bywater!,428909,Stephen,,St. Claude,29.96448,-90.03667,Private room,111,3,438,2022-09-05,3.13,1,244,44,"19STR-20697, 20-OSTR-24055"
80869,"Frenchmen House ""Red Room""",437783,Joanne,,Marigny,29.96811,-90.05905,Private room,75,1,835,2022-08-23,5.98,2,36,76,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
84725,Historic UPTOWN NEW ORLEANS Resort,85132,Sanford,,Central City,29.93608,-90.07997,Private room,317,2,5,2016-01-01,0.04,8,365,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
89173,Marginy BnoB by Frenchman!,486093,Virginia,,Marigny,29.96364,-90.0591,Entire home/apt,125,3,441,2022-09-04,3.21,2,245,33,"22-RSTR-04939, 21-OSTR-03993"
90806,Live Like a Local in Mid-City,485705,Tom,,Mid-City,29.97264,-90.09992,Entire home/apt,110,30,141,2020-01-04,1.06,1,40,0,17STR-05569
183207,"Frenchmen House ""Rose Room""",437783,Joanne,,Marigny,29.96811,-90.05905,Private room,75,1,787,2022-08-22,5.90,2,26,77,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
184478,Northside Bayou Quarters,884946,DJoseph,,Fillmore,30.01387,-90.08049,Private room,199,2,2,2020-02-26,0.06,1,0,0,"19str-24335, 19-OSTR-1234"
204998,Hilaire Suite - 2 Bed 2.5 Bath near French Quarter,1006034,Gwendolyn,,Treme - Lafitte,29.9678,-90.06675,Entire home/apt,235,30,207,2022-07-04,1.55,4,158,14,"19STR-26370, 19-OSTR-2637"
205008,Muse Suite- Near French Quarter,1006034,Gwendolyn,,Treme - Lafitte,29.96719,-90.07033,Entire home/apt,250,30,287,2022-05-30,2.16,4,169,10,"19STR-26373, 19-OSTR-2637"
228560,Boheme de Marigny - Historic Creole Cottage,1192986,Dayna,,Marigny,29.96524,-90.05901,Entire home/apt,475,2,102,2022-09-02,1.17,2,100,25,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
240258,Maison Marais 2,391462,Georgia,,St. Roch,29.96929,-90.05172,Entire home/apt,79,3,538,2022-09-06,4.06,3,285,39,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
252828,NOLA JAZZ FEST GETAWAY UPSTAIRS,1017442,Christy,,Fairgrounds,29.98201,-90.0778,Private room,121,2,144,2022-05-02,1.10,2,297,2,"18STR-11226, 19-OSTR-0000"
259868,AUTHENTIC NEW ORLEANS HOME!!!!!!!,1363780,Deborah,,Treme - Lafitte,29.97307,-90.07671,Entire home/apt,135,2,129,2022-08-01,0.99,3,250,15,"19STR-25266, 21-OSTR-25266"
277071,Historic Irish Channel Corner Grocery - Charming!,1447895,Penny,,Irish Channel,29.92078,-90.0849,Private room,139,3,193,2022-07-04,1.48,1,62,19,"22-RSTR-15053, 22-OSTR-15054"
314233,Historic pied-à-terre on Esplanade,1182408,Lauren,,Marigny,29.96611,-90.06146,Entire home/apt,175,30,80,2020-03-18,0.62,1,364,0,17STR-06556
317793,"Algiers Point, New Orleans LA - Funky NOLA Digs",1631225,Seran,,Whitney,29.94995,-90.04538,Entire home/apt,70,30,12,2022-09-02,0.10,1,335,1,"Long-term host, exempt from registration"
345394,Stylish Home Walking Distance to French Quarter Free Bikes,1751871,Betsey,,Bywater,29.96376,-90.04536,Entire home/apt,159,2,507,2022-08-21,3.97,2,127,40,"18STR-10332, 19-OSTR-00000"
373034,Little Gem,1695097,Connie,,Marigny,29.96739,-90.05899,Entire home/apt,143,3,393,2022-07-02,3.08,1,291,35,"22-RSTR-13055, 22-OSTR-13054"
393492,NOLA JAZZ FEST GETAWAT DOWNSTAIRS,1017442,Christy,,Fairgrounds,29.9857,-90.0764,Private room,105,2,42,2020-03-15,0.34,2,249,0,"19STR-23009, 19-OSTR-0000"
405209,Ursulines Historic Creole Cottage 3 bed/3 bath,323664718,Nichole,,French Quarter,29.965829849243164,-90.06376647949219,Entire home/apt,200,1,130,2022-07-17,1.42,29,165,12,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
406652,Near bustling Magazine St w/BIKES!,2026099,Conor,,St. Thomas Dev,29.92302,-90.07285,Entire home/apt,120,30,171,2022-06-02,1.36,1,269,2,18STR-08837
425692,Quiet place in the Marigny,447521,Krekel,,Marigny,29.965171813964844,-90.0541000366211,Entire home/apt,105,2,137,2022-08-28,1.08,1,85,4,"22-RSTR-07363, 22-OSTR-13445"
425878,Bayou St. John Cottage!!,1919429,Kristin,,Bayou St. John,29.97465,-90.08823,Entire home/apt,125,1,44,2022-05-29,0.42,1,220,8,"19STR-22497, 19-OSTR-3213"
427928,3 Blocks to Jazz Fest! Big Beautiful Best!Sleep 16,2103275,NOLA Festivals,,Fairgrounds,29.98149,-90.07425,Entire home/apt,707,30,146,2020-02-24,1.25,1,365,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
441125,Uptown home w/room to spread out!,2191889,Chris,,Audubon,29.93357,-90.11427,Entire home/apt,537,30,35,2020-03-16,0.28,2,210,0,19STR-83914
446478,"30 day minimum, long term rental only",2216025,Gregory,,French Quarter,29.96254,-90.06653,Entire home/apt,150,30,225,2017-06-11,1.85,1,364,0,
458029,Oak Street Hangout...,2277128,Bonny And Paul,,Leonidas,29.94844,-90.13186,Entire home/apt,99,30,89,2018-04-26,0.73,1,301,0,City registration pending
537726,1 Block to FQ and Frenchmen St -- Diamond Location,2641920,Jonathan,,Marigny,29.96365,-90.05762,Entire home/apt,500,3,103,2022-09-05,0.86,1,49,20,"20-RSTR-21804, 19-OSTR-70429"
561833,Half of The Okra Inn: On Canal Streetcar Line,2707644,Lindsay,,Mid-City,29.97461,-90.09815,Entire home/apt,244,1,51,2022-08-15,0.43,15,110,25,"18STR-15438, 20-OSTR-02677"
596410,"Luxury Home, Excellent Location",2948651,Brita,,Lower Garden District,29.93434,-90.07451,Entire home/apt,225,30,78,2019-11-24,0.67,1,180,0,17STR-13854
596455,Bohemian Bywater Cottage (monthly rental),518748,Rachel,,Bywater,29.96491,-90.04403,Entire home/apt,113,30,46,2021-12-23,0.38,1,6,1,17STR-14012
648129,Beautiful Efficiency Apartment,2383859,Brian,,City Park,29.98282,-90.09417,Entire home/apt,89,30,117,2020-02-24,0.97,1,0,0,18STR-16510
665259,Quiet Stroll to the Quarter #1,1451330,Leron And Dennis,,St. Roch,29.97581,-90.05337,Private room,89,2,219,2022-09-04,1.81,2,180,29,"21-RSTR-05754, 20-OSTR-00520"
665334,Quiet Stroll to the Quarter #2,1451330,Leron And Dennis,,St. Roch,29.97673,-90.05316,Private room,89,2,288,2022-09-05,2.36,2,257,37,"21-RSTR-05754, 20-OSTR-00520"
684584,Ride the Streetcar to the French Quarter!,2176992,Erin,,Mid-City,29.96658,-90.09607,Private room,89,1,840,2022-08-19,6.90,1,235,123,"20RSTR-33155, 20OSTR-33153"
701364,Sky Loft Bywater-Marigny - GREAT LOCATION!!,2671376,Ruby Dee,,St. Roch,29.97036,-90.05007,Entire home/apt,79,3,237,2022-09-04,1.98,5,79,4,"20STR-01981, 20-OSTR-01981"
705776,The Okra Inn Master: On Canal Streetcar Line,2707644,Lindsay,,Mid-City,29.97524,-90.10003,Private room,62,1,218,2020-03-09,1.81,15,0,0,"18STR-15438, 20-OSTR-02677"
705854,The Okra Inn's Balcony Room: On Canal Streetcar,2707644,Lindsay,,Mid-City,29.9754,-90.09804,Private room,50,1,235,2022-01-17,1.95,15,0,2,"18STR-15438, 20-OSTR-02677"
708852,studio unit 3 New Orleans,103427,Jacqueline M,,Lower Garden District,29.93396,-90.08066,Entire home/apt,257,2,0,,,3,90,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
718256,Rumahku De New Orleans lic#17STR-11489 ex6/6/23,1340014,Susanna,,Fillmore,30.00784,-90.08124,Entire home/apt,100,3,336,2022-09-05,2.90,1,238,26,"17STR-11489, 19-OSTR-0000"
719226,Efficiency near City Park!,3710725,Michel,,Fairgrounds,29.98078,-90.08057,Entire home/apt,53,30,35,2017-04-06,0.29,1,0,0,
727668,1 bedroom unit in New Orleans,103427,Jacqueline M,,Lower Garden District,29.93398,-90.08048,Entire home/apt,332,2,5,2016-01-02,0.04,3,359,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
737235,Huckabuck Village in Historic Treme,3849334,Liberty,,Treme - Lafitte,29.96932,-90.07502,Private room,139,2,201,2022-05-24,1.70,2,223,9,"19-RSTR-2655, 19-OSTR-2655"
742617,Cabaret Life: Spacious w/ wraparound balcony,3888377,Zalia,,Marigny,29.96577,-90.05811,Entire home/apt,251,3,224,2022-09-05,1.92,1,106,32,"22CSTR-00256, 22OSTR-00243"
755827,Stay by the river in the safe & historic Bywater,3978674,Carmen,,Bywater,29.96056,-90.03423,Entire home/apt,117,3,533,2022-08-24,4.44,1,19,41,"17STR-08386, 20-OSTR-02684"
760661,The Cristo,2156820,J,,Broadmoor,29.94811,-90.09961,Entire home/apt,179,3,156,2020-03-15,1.34,4,90,0,"22-RSTR-12004, 22-OSTR-12012"
780112,Large Apt Bayou St John/City Park 3 miles to Dome,3233663,Julie,,Bayou St. John,29.97728,-90.08278,Entire home/apt,250,30,97,2022-04-22,0.84,1,89,1,City registration pending
786938,Historic home near FQ-large groups/outdoor oasis,978875,Gianna,,Seventh Ward,29.97478,-90.07634,Entire home/apt,600,3,137,2022-07-31,1.17,1,276,26,"20STR-01939, 19-OSTR-00000"
790082,GUEST WING BY THE RIVER ~2 Q Bedrooms,4163388,N L,,Holy Cross,29.95852,-90.02569,Entire home/apt,107,30,101,2021-12-20,0.86,2,172,1,17STR-19404
812536,"Garden District, DT Views, Comfort",4271460,Christian,,Central City,29.93534,-90.08321,Entire home/apt,181,3,57,2022-07-03,0.49,4,75,14,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
812675,Mardi Gras Balcony Views in Historic Garden District,4271460,Christian,,Central City,29.93505,-90.08166,Entire home/apt,213,3,67,2022-05-22,0.57,4,72,8,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
829933,"King rm @ Huckabuck Village, Treme",3849334,Liberty,,Treme - Lafitte,29.96949,-90.07396,Private room,140,2,144,2022-06-05,1.22,2,247,7,"19RSTR-26556, 21-OSTR-08891"
